"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-45614	3210568	""	-	""	""
PM0-10017	1121020	G6557		TU0-14621	""
PM0-45982	4222513	""	-	""	""
PM0-1725	1130165	G6562 // G369	-	TU0-1544	""
PM0-7522	3853192	G0-10202		TU0-7182	""
PM0-44505	515892	""	+	""	""
PM0-9804		EG10524 // EG10526		TU0-14521	""
PM0-44869	1393139	""	+	""	""
PM00349	754670	EG10402		TU00416	""
PM0-45237	2214749	""	+	""	""
PM331	2520730	EG10407	-	TU0-6409	""
PM0-45598	3173078	""	+	""	""
PM0-10	2196445	EG11992	+	TU0-9	""
PM0-45966	4136089	""	+	""	""
PM0-1382	4375567	EG12099		TU0-1222	""
PM0-7161	629873	EG10167		TU0-6821	""
PM0-44489	490324	""	-	""	""
PM0-9785		EG11678		TU0-12818	""
PM0-44853	1339165	""	+	""	""
PM00332	236041	EG10860		TU0-6685	""
PM0-45221	2168558	""	+	""	""
PM222	3536639	EG10269 // EG10672		TU162	""
PM0-45582	3161182	""	-	""	""
PM-8805	3893829	EG11723 // EG11722		TU-8419	""
PM0-45950	4079180	""	+	""	""
PM0-1284	816914	EG11598 // EG11597 // EG11666 // EG11596 // EG11595		TU0-1123	""
PM0-5801	3102988	G7532 // EG10627 // G7533 // G7532 // EG10627 // EG10664 // G7533 // G7532 // EG10627		TU0-5567 // TU0-5568 // TU0-5561	""
PM0-44473	415847	""	-	""	""
PM0-9765		EG12314		TU0-14495	""
PM0-44837	1317303	""	-	""	""
PM00316	12048	G0-8893 // EG10241 // EG10240		TU00260	""
PM0-45205	2107283	""	-	""	""
PM179	4233539	EG10550		TU0-6552	""
PM0-45566	3132523	""	-	""	""
PM-8776	3201042	EG10136 // EG12434		TU-8393	""
PM0-45934	4050985	""	-	""	""
PM0-1101	89596	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085 // EG11084		TU0-941	""
PM0-5361	3473685	EG11036 // EG10360		TU0-5121	""
PM0-44457	383985	""	-	""	""
PM0-9745	3096620	G7531 // G7530		TU0-14491	""
PM0-44821	1273655	""	-	""	""
PM00291	2137583	G7103 // G7104 // G7105 // G7106 // G7107		TU00207	""
PM0-45189	2079417	""	-	""	""
PM163	2522563	EG11146		TU792	""
PM0-45550	3102254	""	-	""	""
PM0-45918	4005858	""	+	""	""
PM0-10531	174941	EG10432		TU0-14806	""
PM0-5143	3656960	EG11495		TU0-4903	""
PM0-44442	320116	""	+	""	""
PM0-9721	662706	EG11591 // EG11592		TU0-14470	""
PM0-44806	1242164	""	-	""	""
PM00267	3152075	EG10583		TU00191	""
PM0-45173	2042308	""	+	""	""
PM00674	3708694	EG30066		TU00519	""
PM0-45534	3043364	""	-	""	""
PM0-45902	3940643	""	-	""	""
PM0-10501	2025313	G7047		TU0-8788	""
PM0-4863	3606422	EG12215		TU0-4623	""
PM0-44428	311446	""	-	""	""
PM0-9702	1272422	EG12403		TU0-14458	""
PM0-44790	1210195	""	+	""	""
PM00242	963749	EG10441		TU00175	""
PM0-45157	1996851	""	-	""	""
PM00658	3982364	EG30017 // EG30042 // EG30049 // EG30068		TU00503	""
PM0-45518	3006224	""	+	""	""
PM0-45886	3843819	""	-	""	""
PM0-4645	2691123	G7345		TU0-4405	""
PM0-10467	3853845	EG11693		TU0-14013	""
PM0-44412	282252	""	+	""	""
PM0-9651	1258738	EG11533		TU0-8689	""
PM0-44774	1202213	""	-	""	""
PM00219	4347348	EG10357		TU00159	""
PM0-45141	1959872	""	-	""	""
PM00642	3915223	EG10382 // EG11198		TU00280	""
PM0-45502	2985819	""	+	""	""
PM0-45870	3799498	""	-	""	""
PM0-46358	1351121	EG11528	-	TU0-42604	""
PM0-10438	1865724	G6967		TU0-13399	""
PM0-44396	240329	""	+	""	""
PM0-9620	2185827	G7139 // G7138		TU0-13514	""
PM00194	358773	EG10175 // EG10176 // EG10176 // EG10175 // EG10177		TU0-14378 // TU00142	""
PM0-44761	1182848	""	-	""	""
PM0-45125	1925209	""	+	""	""
PM00626	2001808	G7039 // EG11356 // EG11355		TU00471	""
PM0-45854	3757928	""	-	""	""
PM0-46339	1875657	G6977	+	TU0-13404	""
PM0-10387	250880	G6118 // G6117 // G6116 // G6115		TU0-12853	""
PM0-44380	193411	""	+	""	""
PM0-9588	3669261	EG12244		TU0-13965	""
PM00169	2339539	EG11143		TU00126	""
PM0-44745	1153194	""	+	""	""
PM0-45109	1910140	""	-	""	""
PM00609	104693	EG10347		TU0-1424	""
PM0-45473	2905606	""	-	""	""
PM0-45838	3720594	""	+	""	""
PM0-10362	4486112	EG10694		TU0-14740	""
PM0-46326	1339309	EG10705	+	TU0-13199	""
PM0-44364	155518	""	-	""	""
PM0-9564	2591560	G0-10463 // EG10208		TU0-14404	""
PM00149	1195008	EG10489	+	TU00107	""
PM0-44729	1118641	""	-	""	""
PM0-45093	1880767	""	-	""	""
PM00593	2405335	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082		TU00448	""
PM0-45457	2861441	""	-	""	""
PM0-45822	3696215	""	-	""	""
PM0-10318	2089733	EG12844 // G0-9121		TU0-13493	""
PM0-46308	1844900	G6956	-	TU0-13390	""
PM0-4435	3296349	G7644		TU0-6361	""
PM0-9527	1645903	EG11130 // EG11131 // EG10836		TU0-14381	""
PM0-44713	1070045	""	-	""	""
PM00135	2309445	EG10037		TU00073	""
PM0-45077	1854886	""	-	""	""
PM00576	2406656	EG12123		TU00428	""
PM0-45441	2760507	""	+	""	""
PM0-45806	3634783	""	+	""	""
PM0-10257	3178012	EG11165 // EG11164 // EG11163 // EG11009		TU0-14702	""
PM0-46271	1063919	EG12194 // EG12193		TU0-42533	""
PM0-44334	6587	""	-	""	""
PM0-9414	4235858	EG11926 // EG11925 // EG11924 // EG11923 // EG11923		TU0-14287 // TU0-14111	""
PM0-44697	1029994	""	+	""	""
PM00109	4031013	EG10278 // EG10279		TU00215	""
PM0-45061	1813153	""	-	""	""
PM00559	4540809	EG10309		TU00409	""
PM0-45425	2741762	""	+	""	""
PM0-45790	3609020	""	-	""	""
PM0-10230	1822302	EG10663		TU0-13386	""
PM0-46199	2784818	G7384		TU0-13702	""
PM0-4241	2788927	EG11330 // EG10361 // EG11329 // EG12387 // G7394		TU0-4001	""
PM0-10224	4175107	EG10922		TU0-14228	""
PM0-46189	937328	EG12690 // G6465		TU0-13079	""
PM0-4201	622258	EG11104		TU0-6042	""
PM0-9369	3433686	EG11604		TU0-7282	""
PM0-44678	964105	""	+	""	""
PM00086	2823819	EG12080 // EG10823 // EG10823		TU0-4525 // TU00062	""
PM0-45042	1765147	""	-	""	""
PM00540	1237525	EG11407 // EG11408		TU00255	""
PM0-45406	2674795	""	-	""	""
PM0-45771	3581016	""	-	""	""
PM0-10196	1754642	G6897 // G6898 // G6899 // G6900 // G6901 // G6902		TU0-14675	""
PM0-46164	1996917	EG10935		TU0-42465	""
PM0-3681	2456999	G7211		TU0-3481	""
PM0-9310	255737	EG10695		TU0-8874	""
PM0-44662	927460	""	-	""	""
PM00061	1277932	EG10642		TU00045	""
PM0-45026	1739878	""	+	""	""
PM00524	2413459	EG10027		TU00385	""
PM0-45390	2641950	""	-	""	""
PM0-45755	3529733	""	+	""	""
PM0-10179	4265652	EG10001		TU0-14670	""
PM0-46126	3186040	G7587 // G7586 // G7585 // G7584 // G7583 // G0-10545		TU0-13843	""
PM0-3625	3204175	EG11665		TU0-3425	""
PM0-9097	4016343	G7804		TU0-8661	""
PM0-44646	872969	""	+	""	""
PM00039	2352451	EG10399 // EG10401		TU00216	""
PM0-45010	1702202	EG10030	+	TU0-13350	""
PM00507	4619567	EG10222 // EG10220		TU0-6646	""
PM0-45374	2561993	""	+	""	""
PM0-45739	3499311	""	+	""	""
PM0-10158	3931181	EG11541		TU0-14662	""
PM0-46107	4609356	""	+	""	""
PM0-36235	1169033	G6570		TU0-8685	""
PM0-8905	2178667	G7129		TU0-8469	""
PM0-44629	842153	G6415		TU0-13056	""
PM00020	2246929	EG10155		TU00015	""
PM0-44994	1655679	""	-	""	""
PM00490	4128636	EG10590 // EG10582		TU0-3741	""
PM0-45358	2518279	""	-	""	""
PM0-45723	3413621	""	-	""	""
PM0-10138	3442495	EG10910 // EG10903 // EG10893 // EG10878 // EG10912		TU0-14658	""
PM0-46091	4581502	""	-	""	""
PM0-36220	3658054	G0-10694		TU0-36438	""
PM0-8763	1757296	EG10544		TU0-8380	""
PM0-44614	798592	""	-	""	""
PM00003	70075	EG10055 // EG10052 // EG10053		TU00214	""
PM0-44978	1627422	""	-	""	""
PM00474	3950218	EG11270 // G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG10498 // EG11270		TU0-42516 // TU524	""
PM0-45342	2466513	""	+	""	""
PM0-45707	3389461	""	+	""	""
PM0-10120	3081707	EG11427		TU0-13802	""
PM0-46075	4520540	""	-	""	""
PM0-36188	1610720	EG11065		TU0-36422	""
PM0-8731	920337	""	+	""	""
PM0-44598	749182	""	-	""	""
PM0-9986	503295	EG12623		TU0-12952	""
PM0-44962	1582729	""	-	""	""
PM00455	3816580	EG10863 // EG10808 // EG10863		TU0-14696 // TU00334	""
PM0-45326	2423614	""	-	""	""
PM933	4107474	EG10699		TU788	""
PM0-45691	3366843	""	+	""	""
PM0-10101	2652391	EG11600		TU0-8526	""
PM0-46059	4496349	""	-	""	""
PM0-36142	2315695	EG10821		TU00327	""
PM0-8641	1810170	G6933		TU0-8261	""
PM0-44582	683594	""	-	""	""
PM0-9970	310076	G6160 // G6161 // G6162 // G6163		TU0-14611	""
PM0-44946	1533963	""	+	""	""
PM00438	3311326	EG10743		TU0-6654	""
PM0-45310	2385750	""	+	""	""
PM70	3731069	EG20252 // EG12275 // EG12276 // EG20253		TU00374	""
PM0-45675	3321651	""	-	""	""
PM0-10083	2269920	G7147	+	TU0-13550	""
PM0-46043	4458081	""	-	""	""
PM0-3342	771213	EG10174 // EG10173		TU0-3162	""
PM0-8530	1114213	EG11338		TU0-8150	""
PM0-44566	665213	""	-	""	""
PM0-9892	312805	G6167 // G0-10434		TU0-12881	""
PM0-44930	1506754	""	+	""	""
PM00420	2750747	EG10416		TU00411	""
PM0-45294	2358946	""	-	""	""
PM642	1832399	EG11073		TU542	""
PM0-45659	3287401	""	+	""	""
PM0-10066	1937494	EG10803		TU0-14633	""
PM0-46027	4416935	""	+	""	""
PM0-2743	3151390	EG10272		TU0-2562	""
PM0-8261	2153979	EG11618 // EG11617 // EG12136 // G7115 // G7114 // G7113		TU0-7881	""
PM0-44550	644055	""	-	""	""
PM0-9865	4397100	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281		TU0-14562	""
PM0-44914	1492305	""	+	""	""
PM00401	2313084	EG30063	+	TU0-2644	""
PM0-45279	2303851	""	+	""	""
PM582	3274934	EG30069 // EG11175 // EG11176 // EG10016 // EG12760		TU482	""
PM0-45643	3254261	""	-	""	""
PM0-10050	1698122	EG10425		TU0-13349	""
PM0-46011	4333477	""	-	""	""
PM0-2261	1174028	EG11619		TU0-2081	""
PM0-8081	4605694	G7949		TU0-7701	""
PM0-44534	588070	""	-	""	""
PM0-9843		G6789		TU0-7743	""
PM0-44898	1440846	G6700 // G6701	-	TU0-41760	""
PM00378	1813814	EG10509		TU0-6507	""
PM0-45264	2265413	""	-	""	""
PM450	1572072	G6786 // EG11490		TU369	""
PM0-45627	3236462	""	+	""	""
PM0-10033	1361052	G6646 // EG11822 // EG10036 // EG12431 // G6645		TU0-13210	""
PM0-45995	4278314	""	+	""	""
PM0-1981	1368038	EG10776 // EG10777 // EG10778 // EG10779 // EG10780	+	TU00326	""
PM0-7803	2006115	EG11387		TU0-7461	""
PM0-44518	558166	""	+	""	""
PM0-9820		EG10222 // EG10220 // EG10219		TU0-14537	""
PM0-44882	1420277	""	+	""	""
PM00362	1084865	EG11734		TU864	""
PM0-45249	2237858	""	-	""	""
PM383	1266899	EG10518 // EG11251 // G6630		TU305	""
PM0-45611	3204648	""	-	""	""
PM0-10013	1067758	EG11540 // EG12703		TU0-13114	""
PM0-45979	4213224	""	+	""	""
PM0-1681	2003676	EG10321	-	TU0-1521	""
PM0-7506	3808516	EG10520 // EG11190 // EG10520		TU00293 // TU0-7163	""
PM0-44502	508174	""	+	""	""
PM0-9801		EG11812 // G7850 // G7849 // G7848		TU0-14154	""
PM0-44866	1391872	""	+	""	""
PM00345	700352	EG10634		TU0-6652	""
PM0-45234	2194180	""	-	""	""
PM328	2599879	EG11149	+	TU0-6503	""
PM0-45595	3172423	""	+	""	""
PM-8829	2856828	EG11287		TU-8443	""
PM0-45963	4112312	""	-	""	""
PM0-1351	3429047	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087		TU0-1191	""
PM0-6883	3281889	G7636 // G7635 // EG12770 // EG12769 // EG12768 // G7634		TU0-6583	""
PM0-44486	476288	""	+	""	""
PM0-9780		G812		TU0-14501	""
PM0-44850	1339162	""	+	""	""
PM00329	218837	EG10770		TU0-6562	""
PM0-45218	2151051	""	+	""	""
PM205	4640801	EG10061		TU352	""
PM0-45579	3155384	""	-	""	""
PM-8798	687896	G0-9383 // EG12663 // EG12662 // EG12661 // G6359		TU-8412	""
PM0-45947	4073661	""	+	""	""
PM0-1222	4043377	EG11297		TU0-1062	""
PM0-5741	3318562	EG10068		TU0-5501	""
PM0-44470	405708	""	+	""	""
PM0-9762		G7346		TU0-13669	""
PM0-44834	1315397	""	-	""	""
PM00313	1934713	EG10256 // EG10257		TU00227	""
PM0-45202	2104606	""	-	""	""
PM176	3516252	EG11030 // EG11871 // M004 // EG10204		TU875	""
PM0-45563	3132593	""	-	""	""
PM-8773	926685	EG10504		TU-8390	""
PM0-45931	4044175	""	+	""	""
PM0-10559	1755617	EG10804		TU0-14822	""
PM0-5302	4214156	""	-	""	""
PM0-44454	380957	""	-	""	""
PM0-9742	231064	EG11651 // EG11650		TU0-12840	""
PM0-44819	1270546	""	-	""	""
PM00288	3086048	EG10960 // EG10959		TU00204	""
PM0-45186	2064601	""	-	""	""
PM124	1677975	EG10745 // EG10744		TU00320	""
PM0-45547	3099593	""	-	""	""
PM0-45915	4004258	""	-	""	""
PM0-10527	266158	G6120 // G6121 // G0-10432 // G6122 // G6123 // G6124 // G6125		TU0-14802	""
PM0-5063	2790912	EG11330 // EG10361 // EG11329		TU0-4823	""
PM0-4444	197821	G6093		TU0-4204	""
PM0-9718	2878915	EG12845		TU0-14469	""
PM0-44803	1228750	""	+	""	""
PM00262	4114499	EG10628		TU00188	""
PM0-45170	2038202	""	-	""	""
PM00671	2999064	EG30037	-	TU00516	""
PM0-45531	3032943	""	+	""	""
PM0-45899	3907646	""	-	""	""
PM0-10482	2587550	EG10014		TU0-14793	""
PM0-4785	792177	EG11698 // EG10363 // EG10366 // EG10362		TU0-4545	""
PM0-44425	304262	""	-	""	""
PM0-9693	2137193	G7107 // G7105 // G7106		TU0-14452	""
PM0-44787	1210139	""	+	""	""
PM00235	848047	EG10389 // EG10388 // EG10386		TU00172	""
PM0-45154	1989564	""	-	""	""
PM00655	2947382	EG30062 // EG31117 // EG30060		TU00496	""
PM0-45515	2993591	""	+	""	""
PM0-45883	3843957	""	-	""	""
PM0-4642	816692	""	-	""	""
PM0-10464	45592	EG11566		TU0-12799	""
PM0-44409	275206	""	+	""	""
PM0-9646	416977	EG11094 // EG10927		TU0-12917	""
PM0-44771	1198590	""	+	""	""
PM00214	1277777	EG10643 // EG10646		TU00156	""
PM0-45138	1950636	""	+	""	""
PM00639	3344662	EG10898 // EG11681 // EG11682 // EG12146 // EG12147		TU00487	""
PM0-45499	2985809	""	-	""	""
PM0-45867	3793730	""	-	""	""
PM0-46355	146754	EG11747	-	TU0-42600	""
PM0-10435	4474064	G7880		TU0-14171	""
PM0-44393	237260	""	+	""	""
PM0-9608	491310	EG10051		TU0-12947	""
PM00191	1292958	EG10457	-	TU00139	""
PM0-44758	1178540	""	+	""	""
PM0-45122	1925020	""	+	""	""
PM00623	3569455	EG10380 // EG10377 // EG10379		TU00469	""
PM0-45486	2949189	""	-	""	""
PM0-45851	3751975	""	+	""	""
PM0-46336	1021083	G6494	+	TU0-8679	""
PM0-10381	652172	G6346 // G6345		TU0-14751	""
PM0-44377	193471	""	+	""	""
PM0-9584	4177177	EG10939 // EG10667		TU00354	""
PM00165	3569389	EG10380 // EG10377 // EG10379		TU00122	""
PM0-44742	1146607	""	-	""	""
PM0-45106	1908900	""	+	""	""
PM00606	4277447	EG10957		TU00456	""
PM0-45470	2900409	""	-	""	""
PM0-45835	3716356	""	+	""	""
PM0-10357	1400284	EG10668		TU0-14739	""
PM0-46323	957579	EG10946	+	TU0-42569	""
PM0-44361	146957	""	+	""	""
PM0-9557	28288	EG10206		TU0-14399	""
PM00146	1688440	EG10358 // EG10356 // EG10356		TU0-42499 // TU00104	""
PM0-44726	1105412	""	+	""	""
PM0-45090	1877666	""	+	""	""
PM00590	2868118	EG10510	-	TU00442	""
PM0-45454	2809595	""	+	""	""
PM0-45819	3696356	""	-	""	""
PM0-10288	3664781	EG12242		TU0-14719	""
PM0-46305	3380698	G7682	+	TU0-42560	""
PM0-44347	47080	""	+	""	""
PM0-9520	243406	G6105		TU0-8793	""
PM0-44710	1056220	""	+	""	""
PM00131	1016498	EG10273		TU00092	""
PM0-45074	1853983	""	-	""	""
PM00573	2659524	EG12311 // EG11328 // EG12130 // EG12131		TU00423	""
PM0-45438	2758881	""	+	""	""
PM0-45803	3624173	""	+	""	""
PM0-10253	3659145	EG12241 // EG12240		TU0-14698	""
PM0-46267	3648063	G0-10751		TU0-42529	""
PM0-4432	3101744	EG12705		TU0-4191	""
PM0-9403	1986799	G7033		TU0-14282	""
PM0-44694	1030001	""	-	""	""
PM00106	1333788	EG10184		TU00077	""
PM0-45058	1807579	""	+	""	""
PM00556	10644	EG11509		TU00405	""
PM0-45422	2741315	""	+	""	""
PM0-45787	3605634	""	-	""	""
PM0-45784	3604297	""	+	""	""
PM0-10221	468352	G6247		TU0-12936	""
PM0-46186	1862247	EG10367		TU0-42481	""
PM0-4081	63358	EG12609 // EG11083		TU0-3841	""
PM0-9364	1144873	EG10859		TU0-14273	""
PM0-44675	960255	""	+	""	""
PM00081	1737689	EG10800		TU00059	""
PM0-45039	1764930	""	-	""	""
PM00537	2798536	EG11554		TU00393	""
PM0-45403	2667863	""	-	""	""
PM0-45768	3571419	""	-	""	""
PM0-10193	4470946	G7877		TU0-14169	""
PM0-46157	1482904	G6731		TU0-42461	""
PM0-3663	1923385	G7011		TU0-3463	""
PM0-9303	4602177	EG10237 // EG10244 // EG11215 // EG11214 // EG10237 // EG10244 // EG11215		TU0-8869 // TU0-8867	""
PM0-44659	916133	""	-	""	""
PM00055	4223783	EG10587		TU00042	""
PM0-45023	1739809	""	-	""	""
PM00521	953851	EG10701		TU00383	""
PM0-45387	2629085	""	+	""	""
PM0-45752	3526425	""	+	""	""
PM0-10176	4264304	EG11492		TU0-14227	""
PM0-46122	3669551	EG12245		TU0-8360	""
PM0-36247	2585577	EG11460		TU0-13641	""
PM0-8938	4406044	G7846 // G7845 // EG11259 // EG11212		TU0-8502	""
PM0-44643	860088	""	-	""	""
PM00035	4056371	EG10385 // EG10387		TU00028	""
PM0-45007	1684173	""	+	""	""
PM00504	4472745	EG11279 // EG10811 // EG10805		TU00485	""
PM0-45371	2551921	""	-	""	""
PM0-45736	3478528	""	-	""	""
PM0-10155	3926475	EG11199		TU0-14030	""
PM0-46104	4607868	""	-	""	""
PM0-36232	1024365	G6496 // G6495		TU0-13099	""
PM0-45490	2969614	""	+	""	""
PM0-8875	3407351	G7693 // EG10685 // EG11497		TU00314	""
PM0-44626	832960	""	-	""	""
PM00016	809302	EG10118 // EG10121 // EG10119 // EG10120		TU00117	""
PM0-44991	1648436	""	+	""	""
PM00487	4128466	EG10588		TU0-2708	""
PM0-45355	2514322	""	+	""	""
PM0-45720	3413602	""	-	""	""
PM0-10134	3380182	G7681		TU0-13897	""
PM0-46088	4571705	""	+	""	""
PM0-36215	1124103	EG12688		TU0-13130	""
PM0-8751	2065972	EG12151 // EG12150 // EG13238		TU0-8368	""
PM0-44611	785465	""	-	""	""
PM0-9999	880519	G6438		TU0-8633	""
PM0-44975	1624516	""	-	""	""
PM00471	3922134	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099		TU0-6636	""
PM0-45339	2462984	""	+	""	""
PM0-45704	3388236	""	-	""	""
PM0-10117	3041099	G7510 // G7509		TU0-13788	""
PM0-46072	4518442	""	+	""	""
PM0-36184	3910542	EG10735 // EG10783 // EG10782 // EG10784		TU0-36418	""
PM0-8727	3413702	EG10266 // EG10267		TU00234	""
PM0-44595	742623	""	-	""	""
PM0-9983	479288	G6253		TU0-12941	""
PM0-44959	1570527	""	-	""	""
PM00452	3719889	EG10166	+	TU0-1581	""
PM0-45323	2408831	G7185	+	TU0-13580	""
PM928	3656791	EG11400 // EG11399 // EG11398		TU00282	""
PM0-45688	3362094	""	+	""	""
PM0-10098	2639402	G7321		TU0-14647	""
PM0-46056	4486122	""	+	""	""
PM0-36134	4051308	EG11835		TU0-14060	""
PM0-8623	1948674	EG10925 // EG11137 // EG11138		TU0-8243	""
PM0-44579	679462	""	+	""	""
PM0-9967	240216	G6103		TU0-8545	""
PM0-44943	1523276	""	-	""	""
PM00435	3212473	EG10896		TU00436	""
PM0-45307	2385784	""	-	""	""
PM69	3734906	EG20253		TU68	""
PM0-45672	3301279	""	+	""	""
PM0-10080	2185451	M007 // G7135		TU0-13512	""
PM0-46040	4441321	""	-	""	""
PM0-3321	3469896	EG11237		TU0-3141	""
PM0-8527	1526011	G6764		TU0-8147	""
PM0-44563	663967	""	-	""	""
PM0-9886	657147	EG12179		TU0-14576	""
PM0-44927	1502445	""	+	""	""
PM00417	2716738	EG11058		TU0-6515	""
PM0-45291	2348341	""	+	""	""
PM623	2911355	EG10572 // EG11249 // EG10571		TU523	""
PM0-45656	3287291	""	+	""	""
PM0-10063	1907617	G7000 // EG12204		TU0-13422	""
PM0-46024	4391566	""	-	""	""
PM0-2623	4467347	EG12202		TU0-2443	""
PM0-8222	21210	EG10919		TU0-7842	""
PM0-44547	633557	""	+	""	""
PM0-9860		EG12009 // EG12010 // EG12011 // EG12012		TU0-14559	""
PM0-44911	1490766	""	+	""	""
PM00396	2082728	EG10926		TU0-6513	""
PM0-45276	2284109	""	-	""	""
PM541	1151575	EG50003 // EG12606 // EG50003		TU0-42537 // TU441	""
PM0-45640	3252783	""	+	""	""
PM0-10047	1655709	G6842 // G6841		TU0-13335	""
PM0-46008	4308664	""	-	""	""
PM0-2221	141360	EG20098		TU0-2041	""
PM0-8002	546411	G6284 // G6285 // G6286		TU0-7622	""
PM0-44531	575774	""	-	""	""
PM0-9839	2737104	EG11151		TU0-13677	""
PM0-44895	1437079	""	-	""	""
PM00375	1799763	EG11272 // EG10881 // EG10881		TU0-8855 // TU0-6657	""
PM0-45261	2263713	""	+	""	""
PM444	2303577	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068		TU363	""
PM0-45624	3236399	""	+	""	""
PM0-10029	1323188	G6636 // G6635 // G6634		TU0-13194	""
PM0-45992	4261600	""	+	""	""
PM0-1961	1258542	EG11404 // EG10785		TU0-1781	""
PM0-7761	2509461	EG12957		TU0-7421	""
PM0-44515	557006	""	-	""	""
PM0-9816		EG30070 // EG30077		TU0-14533	""
PM0-44879	1420244	""	-	""	""
PM00359	1079185	EG10802		TU121	""
PM0-45246	2225763	""	+	""	""
PM342	4042030	EG11828 // EG11829		TU262	""
PM0-45608	3199753	""	-	""	""
PM0-10010	990591	EG10696		TU0-8489	""
PM0-45976	4199373	""	+	""	""
PM0-1582	103561	EG10347 // EG10339		TU0-1422	""
PM0-7481	1556340	EG11508 // G6776		TU0-7141	""
PM0-44499	508262	""	-	""	""
PM0-9798		EG12399		TU0-14518	""
PM0-44863	1390637	""	-	""	""
PM00342	497139	EG10032		TU0-6481	""
PM0-45231	2192880	""	-	""	""
PM325	2600437	EG10108	+	TU0-6483	""
PM0-45592	3169749	""	-	""	""
PM-8821	639002	EG11385		TU-8435	""
PM0-45960	4105101	""	-	""	""
PM0-1348	2731332	EG30075 // EG30082 // EG30035 // EG30089		TU0-1188	""
PM0-6601	833073	EG11357		TU0-6301	""
PM0-44483	464360	G6244		TU0-12932	""
PM0-9775		G7133		TU0-13510	""
PM0-44847	1335056	""	+	""	""
PM00326	127717	EG10543		TU00523	""
PM0-45215	2150999	""	-	""	""
PM201	4640535	EG10061		TU346	""
PM0-45576	3149575	""	-	""	""
PM-8793	2013205	EG11347 // EG11654 // EG11656 // G377 // G378 // G379		TU00275	""
PM0-45944	4069446	""	-	""	""
PM0-1182	2800656	G7401 // G7402 // EG12381 // EG20257		TU0-1022	""
PM0-5642	422495	EG10565		TU0-5402	""
PM0-44467	399547	""	-	""	""
PM0-9759		EG11161 // EG11162		TU0-14493	""
PM0-44831	1307349	""	-	""	""
PM00307	1896809	EG10930		TU00223	""
PM0-45199	2103093	""	-	""	""
PM173	3519380	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081		TU872	""
PM0-45560	3121364	""	-	""	""
PM-8770	3169749	EG12658 // G7575	+	TU-8387	""
PM0-45928	4024965	""	-	""	""
PM0-10556	787670	EG11699		TU0-14819	""
PM0-5285	4554458	EG20249		TU0-5041	""
PM0-44451	345336	""	+	""	""
PM0-9739	4035356	EG30070 // EG30077 // EG30008 // EG30043 // EG30084		TU0-14486	""
PM0-44816	1269323	""	+	""	""
PM00284	4325206	EG10725 // EG10724 // EG10723 // EG10722 // EG10721 // EG10720 // EG10719 // EG10718 // EG10717 // EG10716 // EG10715 // G7822 // EG11283 // EG10714 // EG10713		TU00201	""
PM0-45183	2059875	""	-	""	""
PM103	1079168	EG10802		TU103	""
PM0-45544	3091068	""	+	""	""
PM0-45912	4002842	""	-	""	""
PM0-10518	4327064	G7823 // EG11210		TU0-14133	""
PM0-5023	4462838	G812 // EG11417		TU0-4783	""
PM0-44437	318334	""	-	""	""
PM0-9715	2824394	G7409		TU0-13718	""
PM0-44800	1226478	""	+	""	""
PM00258	2978951	EG10549		TU00185	""
PM0-45167	2029370	""	-	""	""
PM00668	2043562	EG30094		TU00513	""
PM0-45528	3031189	""	+	""	""
PM0-45896	3897479	""	+	""	""
PM0-10474	4094385	EG11866		TU0-14787	""
PM0-4761	3578818	EG12630		TU0-4521	""
PM0-44422	295663	""	-	""	""
PM0-9689	3276972	G7629 // EG10955		TU0-13872	""
PM0-44784	1209189	""	-	""	""
PM00232	2177234	EG12417 // EG12416 // EG12415 // EG12414 // G7128 // EG12419		TU00169	""
PM0-45151	1979591	""	+	""	""
PM00652	2286207	EG30067		TU00494	""
PM0-45512	2990570	""	-	""	""
PM0-45880	3836838	""	+	""	""
PM0-46369	1996880	G0-10699	+	TU0-42620	""
PM0-10454	4478384	G7885		TU0-14772	""
PM0-44406	275119	""	+	""	""
PM0-9634	4190487	G0-9388		TU0-14101	""
PM00209	2850461	G7414 // EG10481 // EG10480 // EG10479 // EG10478 // EG10477 // EG10476 // EG10475 // EG10474		TU00153	""
PM0-45135	1945544	""	-	""	""
PM00636	2023836	EG10820		TU00486	""
PM0-45496	2984194	""	-	""	""
